Farmer Name,County,Crop Type,Crop Variety,Season,Planted Area (Acres),Yield (Kg),Market Price (KES/Kg),Revenue (KES),Cost of Production (KES),Profit (KES),Planting Date,Harvest Date,Soil Type,Irrigation Method,Fertilizer Used,Pest Control,Weather Impact,Farmer Contact,Notes
Farmer 147,Kiambu,Potatoes,Local,Short Rains,11.44,804.48,36.85,339139.81,27546.34,311593.47,2023-11-30,2023-11-23,Peaty,Drip,Manure,Chemical,None,747816686,Delayed harvest
Farmer 148,Kiambu,N/A,Organic,Long Rains,6.79,2663.93,11.06,200054.22,23376.92,176677.3,2023-06-06,2023-10-24,Peaty,Sprinkler,,Organic,Mild,741244663,
Farmer 149,Kisumu,Potatoes,Organic,Dry Season,18.23,3892.21,41.56,2948889.31,35469.87,2913419.44,2023-04-02,2023-04-06,Sandy,Drip,CAN,N/A,Severe,731130263,Pest issues
Farmer 150,Kisumu,Error,Local,Dry Season,,2272.55,137.68,,67294.48,,2023-12-19,2023-06-28,Clay,Flood,Manure,None,N/A,781969657,
Farmer 151,Nyeri,Maize,Hybrid,Long Rains,13.78,1396.27,190.44,3664179.98,79635.21,3584544.77,2023-03-01,2024-02-18,Loam,Flood,Manure,Organic,None,745810056,Delayed harvest
Farmer 152,Nakuru,Wheat,Local,Long Rains,9.73,3424.92,41.16,1371635.25,80347.47,1291287.78,2023-08-12,2023-08-04,Peaty,Flood,,Chemical,Mild,796098221,High yield
Farmer 153,Machakos,Wheat,Local,Short Rains,Error,N/A,192.12,,2210.22,,Error,2023-10-23,Clay,Flood,DAP,Chemical,Mild,764543049,Pest issues
Farmer 154,Mombasa,Tomatoes,Organic,,14.69,3407.48,150.35,7525901.74,Error,,2023-11-23,2023-05-22,Clay,Flood,DAP,None,Severe,722981052,High yield
Farmer 155,Machakos,Rice,Organic,Short Rains,11.68,3423.22,97.52,3899162.6,35290.27,3863872.33,2023-10-15,2023-05-13,Peaty,Flood,Manure,Organic,Severe,720570592,High yield
Farmer 156,Nairobi,Rice,Local,Long Rains,19.85,3465.54,166.97,11486028.09,3875.06,11482153.03,2023-11-03,2023-10-27,Sandy,Sprinkler,Manure,Chemical,Error,744999379,
Farmer 157,Mombasa,Coffee,Organic,Long Rains,9.5,3768.18,32.99,1180966.45,11258.68,1169707.77,2023-02-27,2023-10-05,Sandy,Sprinkler,UREA,Chemical,None,731172421,Delayed harvest
Farmer 158,Nakuru,Cassava,Local,Dry Season,1.01,3505.9,194.76,689637.17,17742.97,671894.2,2023-03-18,2023-06-01,Sandy,Drip,None,None,Severe,Error,Pest issues
Farmer 159,Kericho,Tomatoes,Organic,Short Rains,4.06,398.24,23.88,38610.48,N/A,,2023-09-10,2023-09-16,Peaty,Flood,None,Chemical,Severe,779008866,Delayed harvest
Farmer 160,Nakuru,Tomatoes,Hybrid,Long Rains,5.02,1686.45,61.18,517948.6,32219.32,485729.28,2023-05-21,Error,Sandy,Flood,N/A,Chemical,Severe,728740864,High yield
Farmer 161,Kiambu,,Local,Dry Season,18.22,758,135.53,1871772.3,97172.43,1774599.87,2023-01-12,2024-02-23,Silty,Drip,DAP,None,Severe,741227216,Pest issues
Farmer 162,Eldoret,Sorghum,Organic,,18.49,990.2,172.56,3159366.18,46317.58,3113048.6,2023-01-21,2024-01-02,Clay,Flood,UREA,Organic,Mild,781969657,Pest issues
Farmer 163,N/A,Beans,Error,Short Rains,4.51,4018.98,82.21,1490105.56,Error,,2023-12-22,2023-04-20,,Flood,Manure,Chemical,Severe,724366125,Delayed harvest
Farmer 164,Kiambu,Maize,Local,Long Rains,1.41,4846.78,134.71,920602.72,72009.54,848593.18,2023-04-26,2024-03-03,Silty,Flood,UREA,Chemical,Severe,741774346,N/A
Farmer 165,Machakos,Maize,Hybrid,Short Rains,9.32,3750.31,53.15,1857746.06,19078.63,1838667.43,2023-12-15,2023-04-09,Sandy,Sprinkler,None,None,None,716789850,Delayed harvest
Farmer 166,Mombasa,Potatoes,Organic,Dry Season,8.32,1626.87,86.27,1167712.62,31804.9,1135907.72,2023-03-05,2024-02-07,Clay,Flood,DAP,Chemical,Mild,760929647,High yield
Farmer 167,Machakos,Wheat,Organic,Long Rains,16.93,2970.34,169.11,8504179.36,65061.76,8439117.6,N/A,2024-02-16,Silty,Drip,UREA,N/A,N/A,750181935,Pest issues
Farmer 168,Nakuru,Coffee,Hybrid,Dry Season,5.63,3725.31,74.03,1552667.86,69867.97,1482799.89,2023-03-16,2023-12-29,Loam,Drip,CAN,Organic,None,785329037,Delayed harvest
Farmer 169,Kericho,,Hybrid,Short Rains,3.33,4454.16,34.47,511271.2,71127.04,440144.16,2023-08-13,2023-11-10,,N/A,DAP,Chemical,None,721496211,Pest issues
Farmer 170,Nairobi,Cassava,Hybrid,Short Rains,13.41,3796.88,143.18,7290175.9,34986.24,7255189.66,2023-02-18,2023-04-11,Clay,Drip,DAP,None,N/A,722575562,
Farmer 171,Kiambu,Coffee,Local,Short Rains,17,289.99,186.44,919117.51,84516.54,834600.97,2023-09-24,2024-03-01,Peaty,None,UREA,Organic,None,726090908,High yield
Farmer 172,Eldoret,,Local,Long Rains,6.1,4144.43,145.67,3682686.62,1469.14,3681217.48,2023-07-10,2023-10-23,,Flood,Manure,None,Severe,768326160,Pest issues
Farmer 173,Nairobi,Beans,Hybrid,Long Rains,0.7,1704.15,N/A,,24933.43,,2023-06-12,,Sandy,Flood,CAN,None,N/A,731227574,Delayed harvest
Farmer 174,Machakos,Cassava,N/A,,2.67,1200.14,118.58,379974.65,16160.65,363814,2023-07-08,2023-11-08,Loam,N/A,None,Chemical,Severe,756397338,High yield
Farmer 175,Eldoret,Beans,Local,Long Rains,14.72,2316.37,61.93,2111625.13,49181.81,2062443.32,2023-11-18,2024-03-12,,,DAP,Organic,Mild,796977837,Pest issues
Farmer 176,Nakuru,Sorghum,Local,Dry Season,17.67,3480.82,197.68,12158523.75,7820.11,12150703.64,2023-09-11,Error,Loam,Flood,CAN,Organic,None,778387461,Pest issues
Farmer 177,Kisumu,Rice,Organic,Short Rains,0.71,3942.19,137.64,385248.15,80891.64,304356.51,2023-06-19,2023-05-25,Clay,Sprinkler,DAP,None,None,723419256,
Farmer 178,Kisumu,Tomatoes,Hybrid,Long Rains,3.93,3805.8,64.23,960674.88,67729.47,892945.41,2023-11-07,2023-05-04,Sandy,None,CAN,Chemical,Severe,787736262,Pest issues
Farmer 179,Eldoret,Beans,Local,Short Rains,19.02,2414.21,21.35,980355.15,31750.58,948604.57,2023-03-08,2023-09-22,Loam,None,N/A,Organic,Mild,747463522,Pest issues
Farmer 180,Eldoret,Tomatoes,Local,Short Rains,15.74,2367.18,127.92,4766224.14,73608.57,4692615.57,2023-07-12,2023-04-06,Loam,Drip,Error,Organic,None,738427073,
Farmer 181,Nakuru,Rice,Hybrid,Long Rains,N/A,1700.39,186.12,,40203.03,,2023-01-29,2024-01-11,Error,Sprinkler,DAP,Organic,None,731682744,High yield
Farmer 182,N/A,Beans,Hybrid,Short Rains,10.96,1478.94,48.87,792142.74,36732.89,755409.85,,2023-07-15,Silty,None,None,Chemical,Severe,727566185,Delayed harvest
Farmer 183,,Maize,Hybrid,Short Rains,6.42,1557.6,187.09,1870861.09,,,2023-05-24,2023-12-02,Sandy,N/A,UREA,Chemical,Severe,Error,High yield
Farmer 184,Eldoret,Maize,Hybrid,Long Rains,11.04,523.58,130.21,752655.88,Error,,2023-03-26,2024-03-16,Sandy,Flood,CAN,Chemical,Mild,786149359,
Farmer 185,Eldoret,Coffee,Organic,Long Rains,,682.87,103.35,,77208.95,,2023-10-06,2023-08-04,Clay,Flood,Manure,N/A,Severe,728740864,
Farmer 186,,Maize,Local,,8.07,2190.98,44.71,790526.84,43567.37,746959.47,2023-05-23,2024-03-25,Clay,Error,Manure,Organic,None,781691040,Delayed harvest
Farmer 187,Eldoret,Tomatoes,Local,Dry Season,3.37,4026,173.15,2349233.4,Error,,2023-07-11,2024-02-05,Loam,Sprinkler,None,None,Severe,788406989,High yield
Farmer 188,Kisumu,Beans,,Short Rains,16.81,3338.94,21.96,1232561.69,31328.42,1201233.27,2023-12-19,2024-03-17,Peaty,Sprinkler,None,Organic,Mild,763100814,Pest issues
Farmer 189,Eldoret,Beans,Local,Long Rains,0.56,1401.94,62.7,49224.92,34422.98,14801.94,2023-07-01,2023-06-17,Error,Sprinkler,Manure,None,,724366125,Pest issues
Farmer 190,Kiambu,N/A,Local,Short Rains,9.2,2752.2,94.02,2380608.96,3403.32,2377205.64,2023-01-12,2023-09-24,Clay,None,DAP,Chemical,Mild,761642594,Delayed harvest
Farmer 191,Nyeri,Potatoes,Hybrid,Long Rains,1.48,1222.53,156.84,283777.58,13289.59,270487.99,2023-01-30,2023-06-25,,Sprinkler,CAN,Chemical,Mild,787490893,Delayed harvest
Farmer 192,Nairobi,N/A,Local,Long Rains,10.74,3039.01,50.96,1663281.78,90462.7,1572819.08,2023-11-24,2023-08-30,Sandy,None,Manure,N/A,Severe,785329037,High yield
Farmer 193,N/A,Tomatoes,Hybrid,Dry Season,7.27,2785.15,,,95402.41,,2023-09-05,2023-07-22,Loam,None,Manure,Chemical,Mild,787388337,
Farmer 194,Nakuru,Sorghum,Organic,Dry Season,8.96,2999.29,142.5,3829493.47,49694.22,3779799.25,2023-08-09,2023-08-25,Loam,Flood,DAP,Organic,None,717901903,
Farmer 195,Mombasa,Maize,Hybrid,Long Rains,,1042.02,63.9,,30071.67,,2023-12-27,2023-05-11,,None,DAP,Chemical,Severe,765177213,
Farmer 196,Meru,Rice,Hybrid,Dry Season,17.13,3326.18,89,5070994.24,21895.11,5049099.13,2023-07-20,2024-01-28,Peaty,Drip,None,None,Mild,N/A,Error
Farmer 197,Kiambu,Beans,Organic,Long Rains,17.88,4797.32,104.36,8951591.88,65037.46,8886554.42,2023-08-07,2023-06-23,Sandy,Drip,,Organic,None,784045292,Pest issues
Farmer 198,Kiambu,Sorghum,Organic,Short Rains,12.48,4956.46,152.07,9406536.33,4601.57,9401934.76,2023-01-04,2023-11-24,,Drip,Manure,None,Mild,759555330,Error
Farmer 199,Kericho,Beans,Hybrid,N/A,19.99,773.38,153.42,2371852.67,10943.14,2360909.53,2023-01-27,2023-05-19,Peaty,N/A,N/A,Organic,Severe,713176186,
Farmer 200,Mombasa,Potatoes,Hybrid,Short Rains,14.89,2003.36,33.68,1004675.42,71395.75,933279.67,2023-10-22,,Clay,Flood,UREA,None,Mild,712823170,
Farmer 201,Eldoret,Tea,Local,Dry Season,15.74,789.42,100.6,1250002.36,26226.31,1223776.05,Error,2023-05-25,Sandy,Sprinkler,None,None,Severe,786460539,
Farmer 202,,Tomatoes,Local,,14.79,3160.63,53.95,2521931.47,59162.46,2462769.01,2023-11-10,2023-08-07,Peaty,Sprinkler,Error,Organic,Severe,745059710,Delayed harvest
Farmer 203,Nakuru,Tomatoes,Organic,Long Rains,11.35,1124.45,,,81447.36,,2023-09-29,2024-01-28,Peaty,None,None,None,Mild,778159587,High yield
Farmer 204,Kericho,Maize,Local,Dry Season,11.42,4305.69,59.34,2917805.94,63751.59,2854054.35,,2024-03-06,Clay,,None,Error,None,739920292,Pest issues
Farmer 205,Error,Potatoes,,Long Rains,16.35,Error,147.54,,78728.85,,2023-04-17,2024-02-03,Peaty,Flood,DAP,None,Severe,747295260,
Farmer 206,Kisumu,Tomatoes,Organic,Dry Season,10.56,793.35,40.13,336200.15,94599.83,241600.32,2023-07-08,2024-03-15,Loam,Drip,Manure,Chemical,Mild,744188276,
Farmer 207,Nairobi,Wheat,Organic,Dry Season,9.58,1123.79,96.4,1037833.55,8607.22,1029226.33,2023-06-17,2023-05-19,Peaty,Drip,,Organic,None,775579548,
Farmer 208,Nyeri,Maize,Local,Dry Season,14.63,1505.5,46.99,1034976.6,34183.94,1000792.66,2023-06-22,2023-10-20,Clay,Drip,UREA,Organic,None,747338124,Delayed harvest
Farmer 209,Kisumu,Wheat,Hybrid,Dry Season,10.43,,55.11,,5701.64,,2023-02-03,2023-08-25,Clay,None,None,Chemical,Severe,756397338,
Farmer 210,Kisumu,Rice,Organic,Dry Season,15.34,2552.15,36.85,1442676.8,61066.38,1381610.42,2023-11-29,2023-12-23,Peaty,Flood,CAN,None,None,771070189,Pest issues
Farmer 211,,Sorghum,Hybrid,Long Rains,11.67,4626.75,152.94,8257868.74,7197.89,8250670.85,2023-07-12,2024-02-08,Clay,Drip,CAN,N/A,Severe,731367172,High yield
Farmer 212,Mombasa,N/A,Local,Long Rains,9.09,4147.43,138.18,5209405.17,40729.92,5168675.25,,2023-11-03,Peaty,Flood,Manure,Chemical,None,722448136,
Farmer 213,Kericho,Tea,Local,N/A,16.44,2548.33,149.56,6265748.18,99595.59,6166152.59,2023-01-12,2024-03-25,Silty,Drip,DAP,Chemical,Mild,783227889,
Farmer 214,Nairobi,Tea,,Dry Season,2.55,Error,111.51,,65188.69,,2023-11-09,2024-02-17,,None,None,Organic,Mild,713704481,
Farmer 215,Kisumu,Tomatoes,Organic,Dry Season,11.07,3773.85,153.56,6415202.33,85395.68,6329806.65,2023-10-31,2023-06-11,Peaty,Sprinkler,UREA,None,Mild,758024342,Delayed harvest
Farmer 216,Nyeri,Sorghum,Local,Error,14.59,2571.96,52.6,1973809.55,52632.72,1921176.83,2023-01-20,2023-10-04,Sandy,N/A,CAN,Organic,Severe,719121552,High yield
Farmer 217,Meru,N/A,Local,Error,17.01,3813.05,191.55,12423929.26,98332.24,12325597.02,2023-06-12,2024-02-09,Peaty,Drip,Manure,Organic,None,736687537,Pest issues
Farmer 218,Machakos,Coffee,,Short Rains,7.13,4819.17,65.61,2254404.35,53056.94,2201347.41,2023-11-16,2023-10-11,Clay,None,UREA,None,None,743704923,
Farmer 219,Eldoret,Tea,Local,Long Rains,6.85,601.02,42.78,176124.7,41782.09,134342.61,2023-03-27,2023-10-04,Loam,Sprinkler,CAN,Organic,Severe,784252420,Delayed harvest
Farmer 220,Kisumu,Maize,Local,Dry Season,15.61,3568.8,15.33,854018.48,55866.79,798151.69,2023-12-27,2024-03-07,Loam,None,DAP,Chemical,None,788339168,
Farmer 221,Nyeri,Cassava,,Dry Season,15.69,3303.4,85.59,4436159.31,40866.93,4395292.38,2023-09-28,2023-08-06,Peaty,Sprinkler,Error,Chemical,Severe,,Pest issues
Farmer 222,Kiambu,Rice,Hybrid,Dry Season,3.01,4660.43,28.46,399233.87,54424.29,344809.58,2023-07-05,2023-12-02,Silty,Sprinkler,DAP,None,Mild,718181586,
Farmer 223,Kericho,Wheat,Local,Short Rains,2.93,2312.22,57.74,391177.22,9908.09,381269.13,,2024-03-09,Clay,Drip,DAP,None,,736687537,
Farmer 224,Eldoret,Sorghum,,Long Rains,11.52,4037.9,184.7,8591617.5,70248.25,8521369.25,2023-09-06,2023-06-03,Clay,Error,UREA,None,Error,756843172,Pest issues
Farmer 225,Nakuru,Wheat,Hybrid,Error,1.24,1972.88,167.87,410672.33,58703.53,351968.8,2023-01-27,2024-01-02,Clay,,DAP,None,None,763481198,
Farmer 226,Nyeri,Potatoes,Organic,Short Rains,2.13,2614.41,81.02,451175.53,9427.68,441747.85,2023-08-05,2023-12-15,Silty,None,DAP,None,Severe,747393469,
Farmer 227,Nakuru,Cassava,Organic,Long Rains,2.59,990.45,83.33,213763.57,N/A,,2023-05-13,2023-06-17,Peaty,Drip,None,Organic,None,735808537,Delayed harvest
Farmer 228,Nyeri,Tea,Hybrid,Short Rains,5.04,2528.4,156.76,1997614,40669.76,1956944.24,2023-02-23,2023-09-15,Silty,Flood,None,None,None,749823450,
Farmer 229,Kericho,Beans,Organic,Short Rains,2.92,1212.64,163.43,578690.73,30572.62,548118.11,2023-10-13,2023-11-07,Clay,None,DAP,Chemical,Mild,741944441,
Farmer 230,Kericho,Coffee,Organic,Short Rains,5.23,885.29,177.46,821651.64,91161.17,730490.47,2023-09-22,2023-12-03,Peaty,Drip,None,Chemical,None,784252722,High yield
Farmer 231,Mombasa,Beans,Error,Short Rains,Error,4745.14,18.96,,73366.25,,2023-02-13,2023-10-21,Loam,Sprinkler,DAP,None,Severe,723718431,Pest issues
Farmer 232,Meru,,Local,Short Rains,19.59,4329.79,59.76,5068878.23,78643.54,4990234.69,2023-11-02,2023-12-31,Peaty,Flood,Manure,None,Severe,747135391,
Farmer 233,N/A,Tea,Hybrid,Long Rains,16.3,605.7,184.79,1824415.04,91094.03,1733321.01,2023-10-13,2024-03-12,Silty,Drip,UREA,Organic,Severe,717869910,Pest issues
Farmer 234,Kiambu,Maize,Local,Dry Season,N/A,N/A,27.49,,81976.55,,2023-04-10,2024-01-06,Peaty,None,None,Organic,Severe,732097220,
Farmer 235,Meru,Cassava,Hybrid,Long Rains,17.99,3829.16,23.84,1642256.27,19302.94,1622953.33,2023-04-01,2024-02-03,Sandy,Drip,CAN,Chemical,None,717869910,Pest issues
Farmer 236,Nairobi,Tomatoes,Organic,Long Rains,11.7,,198.8,,92495.4,,2023-08-26,2023-05-26,Clay,None,,Organic,Mild,766775103,
Farmer 237,,Potatoes,Hybrid,N/A,16.31,2124.7,100.09,3468504.55,68775.63,3399728.92,2023-09-26,2023-08-02,Loam,Drip,CAN,Chemical,N/A,782772208,Pest issues
Farmer 238,Meru,Tomatoes,Hybrid,Short Rains,7.96,881.33,179,1255754.24,Error,,2023-04-30,2023-08-16,Clay,Drip,UREA,Chemical,Severe,715957459,Delayed harvest
Farmer 239,Nairobi,,Organic,Long Rains,5.56,4238.17,196.69,4634847.45,7376.54,4627470.91,2023-11-12,2024-01-05,Loam,Flood,CAN,Organic,N/A,730776478,
Farmer 240,Kisumu,Tomatoes,Error,Long Rains,9.84,,130.25,,33771.97,,2023-01-24,2023-04-03,Peaty,None,UREA,,N/A,784045292,
Farmer 241,Nakuru,Cassava,Organic,Dry Season,17.28,N/A,169.95,,1423.32,,2023-07-10,2024-01-07,Error,None,Manure,None,Error,748250360,Pest issues
Farmer 242,Eldoret,Potatoes,Hybrid,Long Rains,18.22,896.32,148.92,2432005.13,70408.98,2361596.15,2023-03-09,2023-11-11,Loam,Drip,UREA,,Mild,766306997,High yield
Farmer 243,Nairobi,Potatoes,Local,Long Rains,11.9,3947.28,102.5,4814694.78,40006.12,4774688.66,2023-07-21,2023-05-01,Sandy,Flood,DAP,Chemical,None,781286543,Delayed harvest
Farmer 244,Nakuru,Error,Hybrid,Short Rains,13.48,4933.01,118.47,7877896.6,96603.68,7781292.92,2023-04-14,2023-04-18,Loam,Error,None,Organic,Severe,765259205,High yield
Farmer 245,Nyeri,Cassava,Local,Dry Season,18.08,487.49,188.58,1662110.02,40310.41,1621799.61,2023-07-17,2023-08-25,Error,Sprinkler,UREA,Organic,Mild,745551614,
Farmer 246,Kisumu,Cassava,Organic,Short Rains,7.68,4538.63,41.08,1431912.35,41267.03,1390645.32,2023-08-13,2023-05-03,N/A,Drip,,None,None,752339391,Delayed harvest
Farmer 247,Nairobi,Coffee,Organic,Short Rains,4.37,1013.79,179.79,796516.86,69427.8,727089.06,2023-08-24,,Silty,Drip,UREA,Organic,None,,
Farmer 248,Meru,Tomatoes,Organic,Dry Season,8.98,3485.17,39.31,1230278.25,90121.6,1140156.65,2023-05-06,2024-02-26,Clay,None,UREA,Error,Severe,795132217,
Farmer 249,Nairobi,Wheat,Local,Dry Season,N/A,523.74,71,,2797.86,,2023-04-14,2023-11-07,Peaty,None,None,Chemical,None,739920292,
Farmer 250,Mombasa,Beans,Hybrid,Long Rains,11.12,3186.83,198.71,7041795.48,76489.01,6965306.47,2023-02-15,2023-07-13,Sandy,Drip,CAN,N/A,Mild,722660194,
Farmer 251,Kericho,Potatoes,Local,Short Rains,11.53,3141.75,63.52,2300972.46,61586.68,2239385.78,2023-08-19,2024-01-20,Silty,Sprinkler,DAP,None,Severe,711049999,
Farmer 252,Meru,Tomatoes,Local,,1.35,149.79,67.83,13716.35,21199.98,-7483.63,2023-08-09,2023-05-11,Peaty,Drip,CAN,Organic,Mild,782340307,Delayed harvest
Farmer 253,Meru,Coffee,Hybrid,Long Rains,8.43,3929.01,153.12,5071572.39,83636.8,4987935.59,2023-05-24,2023-09-21,Sandy,Sprinkler,UREA,Organic,None,,High yield
Farmer 254,Kiambu,Maize,Hybrid,Long Rains,3.27,4527.21,97.11,1437614.18,17177.25,1420436.93,2023-05-13,2024-01-05,Clay,None,Manure,Chemical,Severe,773993471,Delayed harvest
Farmer 255,Nairobi,Tomatoes,Local,Dry Season,15.75,2584.95,196.07,7982590.56,63298.67,7919291.89,2023-06-12,2023-05-27,Loam,None,CAN,None,None,N/A,
Farmer 256,Kisumu,Rice,Organic,Short Rains,18.14,3036.18,49.75,2740046.18,17879.14,2722167.04,2023-02-12,2024-02-04,Sandy,Sprinkler,CAN,Chemical,Mild,796977837,Pest issues
Farmer 257,Nyeri,Beans,Organic,Short Rains,Error,1103.34,42.85,,54294.31,,2023-06-06,2024-03-10,N/A,None,None,Chemical,Severe,793131979,High yield
Farmer 258,Kiambu,Tea,Organic,Dry Season,18.64,851.78,142.68,2265355.93,74012.55,2191343.38,Error,,Peaty,Drip,None,Chemical,Severe,715917225,
Farmer 259,N/A,Beans,Local,Short Rains,17.91,4075.49,52.87,3859088.41,85065.72,3774022.69,2023-09-04,2023-05-19,Silty,Flood,UREA,Error,Severe,724716857,
Farmer 260,Nyeri,Beans,Organic,Long Rains,17.14,2715.95,179.31,8347128.49,42882.08,8304246.41,2023-10-15,Error,Silty,Flood,None,Chemical,Error,717634247,Pest issues
Farmer 261,Eldoret,Cassava,Organic,Long Rains,0.69,2043.87,181.33,255724.31,55555.46,200168.85,N/A,2023-04-07,,N/A,Manure,None,None,N/A,
Farmer 262,Nyeri,Cassava,Organic,Long Rains,,1548.57,136.4,,,,2023-11-22,2023-08-29,Clay,Flood,Manure,Chemical,Mild,745264581,Pest issues
Farmer 263,Machakos,Sorghum,,Long Rains,7.28,3248.44,68,1608107.74,45414.04,1562693.7,2023-06-07,2023-07-27,Loam,Sprinkler,None,None,Mild,749823450,
Farmer 264,Kericho,Potatoes,Local,Dry Season,13.92,2762.19,186.05,7153563.86,86484.22,7067079.64,2023-07-23,2023-05-04,Loam,None,None,Chemical,Mild,747393469,
Farmer 265,Nyeri,Maize,Organic,Long Rains,18.66,4514.63,108.48,9138680.18,84020.57,9054659.61,2023-11-08,2023-11-18,Silty,N/A,None,Chemical,None,784045292,High yield
Farmer 266,Mombasa,Beans,Hybrid,Error,1.08,4590.53,185.68,920559.18,54307.64,866251.54,2023-05-04,2023-05-11,Error,None,CAN,Organic,None,782160068,
Farmer 267,Meru,Maize,Hybrid,Long Rains,18.16,3131.54,130.25,7407156.82,49129.75,7358027.07,2023-11-29,2023-04-03,Loam,Drip,CAN,None,None,,High yield
Farmer 268,Nakuru,Coffee,Organic,Long Rains,2.93,2168.88,,,76760.82,,2023-08-21,2023-12-08,Sandy,Drip,Manure,None,None,723796726,Pest issues
Farmer 269,Nairobi,Coffee,Organic,Dry Season,11.19,2611.99,134.49,3930896.33,2948.35,3927947.98,2023-05-03,2024-02-24,Error,Flood,Error,Organic,Severe,722575562,
Farmer 270,Kisumu,Potatoes,Hybrid,Short Rains,2.44,1974.6,158.02,761344.15,3573.69,757770.46,2023-04-08,2023-04-18,Loam,Drip,Manure,None,None,764038913,
Farmer 271,N/A,Rice,Hybrid,Short Rains,16.77,4521.72,Error,,Error,,2023-06-26,2023-10-01,Sandy,Drip,DAP,Organic,Severe,757469942,High yield
Farmer 272,Kisumu,Rice,Organic,Long Rains,19.98,2604.74,86.7,4512102.54,50912.8,4461189.74,2023-05-21,2023-06-15,Clay,Sprinkler,Manure,None,None,710076758,
Farmer 273,Nairobi,,Local,Long Rains,10.66,2522.91,189.56,5098068.46,48522.86,5049545.6,2023-03-02,2023-08-04,Clay,Drip,None,Chemical,Mild,795125977,Pest issues
Farmer 274,Nairobi,Rice,Organic,N/A,11.71,3561.07,36.18,1508710.69,41747,1466963.69,N/A,2024-02-12,Error,Flood,DAP,Organic,Severe,717774584,Pest issues
Farmer 275,Kisumu,Maize,Error,Short Rains,1.55,4531.8,164.83,1157813.72,63767.3,1094046.42,2023-06-08,2023-06-16,Sandy,None,N/A,Organic,None,741244663,Delayed harvest
Farmer 276,Nairobi,Beans,Local,Dry Season,1.99,882.25,164.22,288317.36,55220.69,233096.67,2023-12-04,2023-08-23,Clay,Drip,None,Organic,None,773481353,High yield
Farmer 277,Machakos,Potatoes,Organic,Dry Season,14.62,1466.93,19.68,422067.45,21060.94,401006.51,2023-09-01,2023-08-02,Silty,None,None,None,Severe,736786211,Pest issues
Farmer 278,Nyeri,Maize,Local,Error,9.6,2834.75,179.81,4893277.42,63740.58,4829536.84,2023-05-27,2024-03-10,Peaty,Flood,None,,Severe,738317637,Delayed harvest
Farmer 279,Kisumu,Tea,Hybrid,Short Rains,8,3767.98,83.8,2526053.79,N/A,,2023-08-06,2023-05-09,Sandy,Drip,CAN,Chemical,Mild,782909480,High yield
Farmer 280,Kisumu,Coffee,Organic,Short Rains,3.53,4334.71,Error,,74076.43,,2023-01-19,2023-11-13,Silty,None,Manure,None,Severe,765177213,
Farmer 281,Eldoret,Coffee,Hybrid,Long Rains,6.98,2819.5,173.34,3411350.27,67510.37,3343839.9,2023-04-30,2024-03-21,Sandy,Flood,,None,Mild,788979095,Pest issues
Farmer 282,Eldoret,Rice,Local,Dry Season,14.89,1372.39,29.62,605281.36,55696.23,549585.13,2023-01-05,2023-07-01,Loam,Drip,N/A,Chemical,None,775181648,
Farmer 283,Nairobi,Wheat,Hybrid,Short Rains,13.86,1284.16,76.46,1360870.07,39374.05,1321496.02,2023-08-09,2023-11-18,Sandy,None,None,Chemical,Severe,764193837,
Farmer 284,Eldoret,Tomatoes,Local,Short Rains,7.59,3015.61,42.93,982602.44,89848.75,892753.69,2023-10-14,2023-07-16,Loam,Sprinkler,UREA,Organic,None,Error,Error
Farmer 285,Meru,Coffee,Local,Short Rains,12.22,2981.19,24.44,890352.67,25935.58,864417.09,2023-04-28,Error,Peaty,Flood,CAN,,None,788320463,Pest issues
Farmer 286,,Tea,Organic,Short Rains,17.1,851.29,54.55,794087.57,43895.81,750191.76,2023-07-03,2023-12-28,Peaty,Flood,Manure,Organic,Error,765177213,
Farmer 287,Nakuru,Coffee,Organic,Dry Season,0.67,1569.39,64.62,67947.37,41581.02,26366.35,,2023-04-26,Clay,Sprinkler,UREA,Organic,Mild,781971316,
Farmer 288,Nairobi,Beans,Organic,Long Rains,9,1834.54,87.97,1452460.35,46516.9,1405943.45,2023-01-17,2024-03-20,Sandy,Sprinkler,DAP,Chemical,Mild,758718453,
Farmer 289,Kiambu,Cassava,Organic,Long Rains,5.7,2004.73,98.85,1129555.09,,,2023-04-23,2023-05-10,Silty,N/A,Manure,Chemical,Severe,720117988,Delayed harvest
Farmer 290,Kisumu,Wheat,Local,Long Rains,13.75,4423.11,116.8,7103514.66,N/A,,2023-03-03,2023-06-09,Loam,None,CAN,None,Error,785863473,Pest issues
Farmer 291,Nakuru,Maize,Hybrid,Short Rains,10.32,4234.83,113.56,4962963.28,81823.71,4881139.57,2023-12-26,2023-07-14,Loam,None,DAP,Chemical,None,731227574,Delayed harvest
Farmer 292,Nyeri,Coffee,Hybrid,Short Rains,19.8,1902.54,135.15,5091139.96,64874.78,5026265.18,2023-05-10,2024-01-23,Loam,Drip,UREA,Organic,None,791756179,Pest issues
Farmer 293,,Tomatoes,Hybrid,Short Rains,9.36,2387.94,87.17,1948346.99,46172.66,1902174.33,2023-11-01,2024-02-28,Sandy,None,DAP,None,Severe,757683626,Pest issues
Farmer 294,Nyeri,,Hybrid,Long Rains,11.25,1538.86,143.32,2481180.92,45725.17,2435455.75,2023-07-15,2023-11-24,Peaty,None,DAP,None,Mild,733763566,Delayed harvest
